"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name","direction"
"FBgn0003360",1168.38313163167,-3.17547076123437,0.0721604220141307,-44.0057121702051,0,0,"sesB","Down"
"FBgn0026562",8146.01490538287,-2.44056505627228,0.0415701836091922,-58.7095087001879,0,0,"BM-40-SPARC","Down"
"FBgn0034751",4379.19893659735,-1.29029511380036,0.037115025731029,-34.7647640918014,8.29304371744243e-265,2.00829875357398e-261,"RpS24","Down"
"FBgn0040813",20657.0328451327,-1.0909315444888,0.0316995112286343,-34.4147749351845,1.51596513041223e-259,2.75337166811122e-256,"Nplp2","Down"
"FBgn0261552",1601.54713051709,-1.81719372507576,0.0544943228167719,-33.3464777823879,8.193422198729e-244,1.19050424547532e-240,"ps","Down"
"FBgn0029167",935.17747093617,-2.05411580123701,0.0685169110536447,-29.9796907018877,1.80563975132866e-197,2.18632879890045e-194,"Hml","Down"
"FBgn0024733",5220.51479263889,1.03080665145559,0.0368438974958516,27.9776766714665,3.03729784592307e-172,2.75824610632889e-169,"Qm","Up"
"FBgn0066084",6496.66785764313,1.08708509719717,0.0391601154264585,27.7600074810475,1.31941942148841e-169,1.06506467745704e-166,"RpL41","Up"
"FBgn0261362",1847.44129163095,1.34580714444516,0.0490073887791314,27.4613109976233,5.09079198081484e-166,3.69846037406198e-163,"proPO-A1","Up"
"FBgn0013676",538.621141502916,2.87056564727752,0.104614779952694,27.4393890478532,9.29982056826398e-166,6.14210876622162e-163,"mt:CoIII","Up"
"FBgn0035147",4126.99437843823,-1.1009589123901,0.0410337044058051,-26.8306000721287,1.42073716665402e-158,8.6013795964512e-156,"CG12030","Down"
"FBgn0025111",403.883752458417,2.96556277525285,0.112691585225796,26.3157428241945,1.26665100346813e-152,6.13481302679729e-150,"Ant2","Up"
"FBgn0040007",1579.06344754451,1.44513514281972,0.0594722958074195,24.2992997529352,1.99401953239134e-130,8.5215011193077e-128,"RpL38","Up"
"FBgn0023479",878.870136076309,-1.58889172067064,0.0655529832141199,-24.2382824208128,8.78877306271162e-130,3.54724646114444e-127,"Tequila","Down"
"FBgn0051363",2504.0495376268,1.0087187671186,0.0433834536687204,23.2512324818873,1.38227315480452e-119,5.28537603666045e-117,"Jupiter","Up"
"FBgn0033913",1293.6245218078,-1.27987859164168,0.0552992123874713,-23.1446079679003,1.64738735673891e-118,5.98413457335409e-116,"CG8468","Down"
"FBgn0033635",695.863100763634,1.53455342484932,0.0719647994918312,21.3236670661955,6.84767777293094e-101,2.26128995547015e-98,"CG7777","Up"
"FBgn0036985",598.154871297416,-1.69245890366572,0.079391323491515,-21.3179328575698,7.74025998745017e-101,2.44491255690546e-98,"CG5847","Down"
