# Program:featureCounts v2.0.8; Command:"featureCounts" "-T" "4" "-t" "exon" "-g" "gene_id" "-a" "/mnt/d/RNAseq/reference/BDGP5.25.62/Drosophila_melanogaster.BDGP5.25.62.gtf" "-o" "/mnt/d/RNAseq/counts/all_samples_gene_counts.txt" "/mnt/d/RNAseq/alignment/SRR031708.sorted.bam" "/mnt/d/RNAseq/alignment/SRR031712.sorted.bam" "/mnt/d/RNAseq/alignment/SRR031713.sorted.bam" "/mnt/d/RNAseq/alignment/SRR031720.sorted.bam" "/mnt/d/RNAseq/alignment/SRR031721.sorted.bam" "/mnt/d/RNAseq/alignment/SRR031722.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/mnt/d/RNAseq/alignment/SRR031708.sorted.bam	/mnt/d/RNAseq/alignment/SRR031712.sorted.bam	/mnt/d/RNAseq/alignment/SRR031713.sorted.bam	/mnt/d/RNAseq/alignment/SRR031720.sorted.bam	/mnt/d/RNAseq/alignment/SRR031721.sorted.bam	/mnt/d/RNAseq/alignment/SRR031722.sorted.bam
FBgn0037213	3R;3R;3R;3R;3R;3R;3R	380;380;578;7784;7784;9439;9439	509;1913;1913;8649;8649;10200;10200	+;+;+;+;+;+;+	3162	100	117	111	137	166	170
FBgn0000500	3R	15388	16170	-	783	2	0	1	1	2	1
FBgn0053294	3R;3R;3R;3R;3R;3R	17136;19953;20114;20671;21367;21591	17251;20047;20599;21210;21534;21871	+;+;+;+;+;+	1686	18	24	21	25	33	35
FBgn0037215	3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R	23029;23030;23459;23981;23981;24552;24552;24727;24727;27565;27565;28098;28098;29504;29504;29935;29935	23284;23593;23593;24494;24494;24648;24648;25015;25015;28044;28044;28519;28519;29884;29884;30295;30295	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3109	1375	1501	1346	1228	1611	1370
FBgn0037217	3R;3R;3R;3R	30207;30207;40845;40868	31507;31507;41011;41033	-;-;-;-	1490	14	8	14	10	12	11
FBgn0037218	3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R	37505;37630;43166;43969;46719;46840;47478;47478;47780;47780;47980;47980;50321;50321;50788;50788;51220;51220;52252;52252;52473;52473	37534;37637;43289;44036;47039;47039;47708;47708;47919;47919;48912;48912;50730;50730;51161;51161;52181;52181;52413;52413;53244;53244	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4535	561	722	549	574	697	654
FBgn0051516	3R	44179	45852	-	1674	0	5	6	5	3	5
FBgn0261436	3R;3R;3R;3R;3R	53106;53870;54202;54450;54767	53814;54143;54356;54710;54971	-;-;-;-;-	1604	189	204	160	172	206	204
FBgn0037220	3R	56475	58077	-	1603	396	425	381	323	428	414
FBgn0015331	3R	58765	60763	+	1999	262	291	199	182	281	255
FBgn0010225	3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R	60868;60868;60868;60868;61810;61810;61961;62275;62275;62275;62304;62515;63347;63347;63347;63347;63347;64025;64025;64025;64025;64025;64292;64292;64292;64292;64292;64541;64541;64541;64541;64541;66311;66311;66311;66311;66311;66600;66600;66600;66600;66600	61046;61046;61046;61046;61870;61870;62003;62526;62526;62526;62526;62661;63539;63539;63539;63539;63539;64099;64099;64099;64099;64099;64487;64487;64487;64487;64487;66246;66246;66246;66246;66246;66436;66436;66436;66436;66436;66780;66780;66780;66780;66780	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3147	4132	4617	4150	2882	3691	3414
